app_id,is_free,price_usd,release_date_str,genres_csv,categories_csv,scraped_utc
10,FALSE,,"1 Nov, 2000",Action,Multi-player|PvP|Online PvP|Shared/Split Screen PvP|Color Alternatives|Custom Volume Controls|Keyboard Only Option|Stereo Sound|Valve Anti-Cheat enabled|Family Sharing,2026-02-27T20:09:21+00:00
70,FALSE,9.99,"Nov 19, 1998",Action,Single-player|Multi-player|PvP|Online PvP|Full controller support|Color Alternatives|Custom Volume Controls|Adjustable Difficulty|Keyboard Only Option|Playable without Timed Input|Save Anytime|Stereo Sound|Steam Cloud|Valve Anti-Cheat enabled|Remote Play on Phone|Remote Play on Tablet|Family Sharing,2026-02-27T20:09:21+00:00
80,FALSE,9.99,"Mar 1, 2004",Action,Single-player|Multi-player|Color Alternatives|Custom Volume Controls|Adjustable Difficulty|Stereo Sound|Valve Anti-Cheat enabled|Family Sharing,2026-02-27T20:09:22+00:00
220,FALSE,,"16 Nov, 2004",Action,Single-player|Steam Achievements|Full controller support|Steam Trading Cards|Captions available|Steam Workshop|Camera Comfort|Custom Volume Controls|Adjustable Difficulty|Playable without Timed Input|Save Anytime|Stereo Sound|Subtitle Options|Surround Sound|Steam Cloud|Includes Source SDK|Commentary available|Remote Play on Phone|Remote Play on Tablet|Remote Play Together|Family Sharing|Steam Timeline,2026-02-27T20:09:23+00:00
240,FALSE,9.99,"Nov 1, 2004",Action,Multi-player|Cross-Platform Multiplayer|Steam Achievements|Camera Comfort|Color Alternatives|Custom Volume Controls|Stereo Sound|Subtitle Options|Surround Sound|Steam Cloud|Valve Anti-Cheat enabled|Stats|Includes Source SDK|Family Sharing,2026-02-27T20:09:23+00:00
300,FALSE,9.99,"Jul 12, 2010",Action,Multi-player|Cross-Platform Multiplayer|Steam Achievements|Steam Trading Cards|Camera Comfort|Color Alternatives|Custom Volume Controls|Adjustable Difficulty|Stereo Sound|Surround Sound|Valve Anti-Cheat enabled|Stats|Includes Source SDK|Family Sharing,2026-02-27T20:09:24+00:00
320,FALSE,,"Nov 1, 2004",Action,Multi-player|Custom Volume Controls|Playable without Timed Input|Stereo Sound|Surround Sound|Valve Anti-Cheat enabled|Includes Source SDK|Family Sharing,2026-02-27T20:09:25+00:00
400,FALSE,9.99,"Oct 10, 2007",Action,Single-player|Steam Achievements|Full controller support|Captions available|Camera Comfort|Custom Volume Controls|Save Anytime|Stereo Sound|Subtitle Options|Surround Sound|Includes level editor|Includes Source SDK|Commentary available|Remote Play on Phone|Remote Play on Tablet|Family Sharing,2026-02-27T20:09:26+00:00
440,TRUE,,"Oct 10, 2007",Action|Free To Play,Multi-player|Cross-Platform Multiplayer|Steam Achievements|Steam Trading Cards|Captions available|Steam Workshop|In-App Purchases|Camera Comfort|Color Alternatives|Custom Volume Controls|Stereo Sound|Surround Sound|Partial Controller Support|Valve Anti-Cheat enabled|Stats|Includes level editor|Commentary available|Remote Play on Phone|Remote Play on Tablet,2026-02-27T20:09:26+00:00
500,FALSE,9.99,"Nov 17, 2008",Action,Single-player|Multi-player|Co-op|Steam Achievements|Full controller support|Captions available|Camera Comfort|Color Alternatives|Custom Volume Controls|Adjustable Difficulty|Stereo Sound|Surround Sound|Steam Cloud|Valve Anti-Cheat enabled|Stats|Steam Leaderboards|Includes Source SDK|Commentary available|Remote Play on TV|Family Sharing,2026-02-27T20:09:28+00:00
