app_id,avg_m1,avg_m2,avg_m3,peak_m1,peak_m2,peak_m3,is_free,price_usd,age_months,age_since_release_months,genres,categories
2054970,1102.01,1469.96,1246.31,2417.0,2895.0,2376.0,0,,5,,['Action' 'RPG'],"['Single-player' 'Steam Achievements' 'Steam Trading Cards'
 'Partial Controller Support' 'Steam Cloud' 'HDR available'
 'Family Sharing']"
337320,251.31,359.16,417.91,571.0,973.0,853.0,0,19.99,5,,['Action' 'Indie'],"['Single-player' 'Multi-player' 'Co-op' 'Online Co-op'
 'Cross-Platform Multiplayer' 'Steam Achievements'
 'Full controller support' 'VR Supported' 'Steam Trading Cards'
 'Steam Workshop' 'Steam Cloud' 'Steam Leaderboards'
 'Includes level editor' 'Family Sharing']"
1812820,485.37,449.78,429.29,590.0,593.0,550.0,1,,5,,['Free To Play'],['Single-player' 'Steam Achievements' 'Steam Cloud']
1593500,1552.81,1586.12,2673.52,2907.0,4407.0,5444.0,0,49.99,5,,['Action' 'Adventure' 'RPG'],"['Single-player' 'Steam Achievements' 'Full controller support'
 'Adjustable Text Size' 'Camera Comfort' 'Color Alternatives'
 'Custom Volume Controls' 'Adjustable Difficulty' 'Keyboard Only Option'
 'Narrated Game Menus' 'Playable without Timed Input' 'Save Anytime'
 'Stereo Sound' 'Subtitle Options' 'Surround Sound' 'Steam Cloud'
 'Remote Play on TV' 'Family Sharing']"
2918150,1048.5,1502.27,1172.35,1597.0,3127.0,1970.0,1,,5,,['Action' 'Free To Play'],"['Single-player' 'Multi-player' 'PvP' 'Online PvP' 'Co-op' 'Online Co-op'
 'Steam Achievements' 'Full controller support' 'In-App Purchases']"
368260,344.93,419.0,392.21,591.0,693.0,665.0,0,59.99,5,,['RPG' 'Strategy'],"['Single-player' 'Steam Achievements' 'Full controller support'
 'In-App Purchases' 'Family Sharing']"
1857090,389.68,306.42,679.32,899.0,648.0,1796.0,0,14.99,5,,['RPG' 'Simulation' 'Strategy' 'Early Access'],"['Single-player' 'Steam Achievements' 'Adjustable Text Size'
 'Camera Comfort' 'Color Alternatives' 'Custom Volume Controls'
 'Adjustable Difficulty' 'Playable without Timed Input' 'Save Anytime'
 'Stereo Sound' 'Steam Cloud' 'Family Sharing']"
233860,5861.76,5546.58,4877.41,11572.0,9645.0,7542.0,0,11.99,5,,['Action' 'Indie' 'RPG' 'Simulation' 'Strategy'],"['Single-player' 'Steam Trading Cards' 'Steam Workshop'
 'Includes level editor' 'Family Sharing']"
719640,187.54,192.19,188.9,291.0,314.0,305.0,1,,5,,['Massively Multiplayer' 'Strategy' 'Free To Play'],"['Multi-player' 'MMO' 'Cross-Platform Multiplayer' 'Steam Achievements'
 'In-App Purchases' 'Steam Cloud']"
1292690,132.76,130.31,135.22,258.0,285.0,263.0,0,9.99,5,,['Adventure' 'Casual' 'Indie' 'RPG' 'Early Access'],"['Single-player' 'Steam Achievements' 'Partial Controller Support'
 'Steam Cloud' 'Family Sharing']"
301120,152.65,143.31,142.9,249.0,228.0,248.0,0,19.99,5,,['Simulation' 'Sports'],['Single-player' 'Multi-player' 'Steam Workshop' 'Family Sharing']
113400,211.65,161.17,148.99,438.0,371.0,328.0,1,,5,,['Action' 'Massively Multiplayer' 'Free To Play'],['Multi-player' 'MMO' 'Steam Achievements']
1149460,1942.26,1706.53,2178.76,3982.0,3556.0,5152.0,0,34.99,5,,['Action' 'Adventure' 'Simulation'],"['Single-player' 'Multi-player' 'Co-op' 'Online Co-op'
 'Steam Achievements' 'Steam Trading Cards' 'Steam Cloud' 'Family Sharing']"
1145360,2622.93,2942.68,4892.89,4044.0,8563.0,9234.0,0,24.99,5,,['Action' 'Indie' 'RPG'],"['Single-player' 'Steam Achievements' 'Full controller support'
 'Steam Trading Cards' 'Captions available' 'Steam Cloud'
 'Remote Play on Phone' 'Remote Play on Tablet' 'Remote Play on TV'
 'Family Sharing']"
1797880,938.97,802.14,470.2,1750.0,1607.0,936.0,1,,5,,['Action' 'Massively Multiplayer' 'Free To Play'],['Multi-player' 'PvP' 'Online PvP' 'In-App Purchases']
236850,14847.26,13961.06,13392.86,24988.0,23449.0,21924.0,0,,5,,['Simulation' 'Strategy'],"['Single-player' 'Multi-player' 'PvP' 'Online PvP' 'Co-op' 'Online Co-op'
 'Cross-Platform Multiplayer' 'Steam Achievements' 'Steam Trading Cards'
 'Steam Workshop' 'Steam Cloud' 'Family Sharing']"
2820820,353.23,254.86,166.93,1060.0,629.0,369.0,0,14.99,5,,['Action' 'Indie' 'RPG'],['Single-player' 'Full controller support' 'Steam Cloud' 'Family Sharing']
2552430,975.35,825.57,990.7,1612.0,1691.0,1837.0,0,49.99,5,,['Action' 'Adventure' 'RPG'],"['Single-player' 'Steam Achievements' 'Full controller support'
 'Steam Cloud' 'Family Sharing']"
24810,428.33,405.65,395.68,724.0,646.0,665.0,0,,5,,['Action' 'Strategy'],"['Single-player' 'Multi-player' 'Steam Workshop' 'Steam Cloud'
 'Includes level editor' 'Family Sharing']"
2334730,1005.48,426.33,313.78,2482.0,933.0,530.0,0,6.99,5,,['Action' 'Casual' 'Indie' 'RPG' 'Early Access'],"['Single-player' 'Steam Achievements' 'Full controller support'
 'Steam Cloud' 'Family Sharing']"
1669000,2385.67,1750.96,1917.46,4859.0,3211.0,3407.0,0,,5,,['RPG' 'Strategy'],"['Single-player' 'Multi-player' 'PvP' 'Online PvP' 'Co-op' 'Online Co-op'
 'Cross-Platform Multiplayer' 'Steam Achievements' 'Steam Workshop'
 'Camera Comfort' 'Chat Speech-to-text' 'Chat Text-to-speech'
 'Custom Volume Controls' 'Adjustable Difficulty'
 'Playable without Timed Input' 'Save Anytime' 'Stereo Sound'
 'Surround Sound' 'Partial Controller Support' 'Steam Cloud'
 'Remote Play Together' 'Family Sharing']"
363150,478.82,452.8,386.3,916.0,896.0,725.0,0,59.99,5,,['Simulation'],['Single-player' 'Steam Cloud' 'Family Sharing']
2217000,481.27,410.12,552.62,951.0,1002.0,2264.0,0,29.99,5,,['Action' 'Indie'],"['Multi-player' 'PvP' 'Online PvP' 'Shared/Split Screen PvP'
 'Shared/Split Screen' 'Steam Achievements' 'Full controller support'
 'In-App Purchases' 'Remote Play Together' 'Family Sharing']"
