app_id,avg_m1,avg_m2,avg_m3,peak_m1,peak_m2,peak_m3,is_free,price_usd,age_months,age_since_release_months,genres,categories,pred_p10_players,pred_p50_players,pred_p90_players,row_error
2054970,1102.01,1469.96,1246.31,2417.0,2895.0,2376.0,0,,5,,['Action' 'RPG'],"['Single-player' 'Steam Achievements' 'Steam Trading Cards'
 'Partial Controller Support' 'Steam Cloud' 'HDR available'
 'Family Sharing']",904.2938232377918,1321.586266664606,1960.842793233494,
337320,251.31,359.16,417.91,571.0,973.0,853.0,0,19.99,5,,['Action' 'Indie'],"['Single-player' 'Multi-player' 'Co-op' 'Online Co-op'
 'Cross-Platform Multiplayer' 'Steam Achievements'
 'Full controller support' 'VR Supported' 'Steam Trading Cards'
 'Steam Workshop' 'Steam Cloud' 'Steam Leaderboards'
 'Includes level editor' 'Family Sharing']",259.74937848041463,409.7146400522896,712.8125430170447,
1812820,485.37,449.78,429.29,590.0,593.0,550.0,1,,5,,['Free To Play'],['Single-player' 'Steam Achievements' 'Steam Cloud'],375.29293794531867,446.9677145601681,543.958691146218,
1593500,1552.81,1586.12,2673.52,2907.0,4407.0,5444.0,0,49.99,5,,['Action' 'Adventure' 'RPG'],"['Single-player' 'Steam Achievements' 'Full controller support'
 'Adjustable Text Size' 'Camera Comfort' 'Color Alternatives'
 'Custom Volume Controls' 'Adjustable Difficulty' 'Keyboard Only Option'
 'Narrated Game Menus' 'Playable without Timed Input' 'Save Anytime'
 'Stereo Sound' 'Subtitle Options' 'Surround Sound' 'Steam Cloud'
 'Remote Play on TV' 'Family Sharing']",1714.6376490640862,2629.498295022439,4142.38197393212,
2918150,1048.5,1502.27,1172.35,1597.0,3127.0,1970.0,1,,5,,['Action' 'Free To Play'],"['Single-player' 'Multi-player' 'PvP' 'Online PvP' 'Co-op' 'Online Co-op'
 'Steam Achievements' 'Full controller support' 'In-App Purchases']",848.1621081691688,1178.5905493409923,1616.6139631559536,
368260,344.93,419.0,392.21,591.0,693.0,665.0,0,59.99,5,,['RPG' 'Strategy'],"['Single-player' 'Steam Achievements' 'Full controller support'
 'In-App Purchases' 'Family Sharing']",328.5599617074557,427.1262792459359,582.6096850909125,
1857090,389.68,306.42,679.32,899.0,648.0,1796.0,0,14.99,5,,['RPG' 'Simulation' 'Strategy' 'Early Access'],"['Single-player' 'Steam Achievements' 'Adjustable Text Size'
 'Camera Comfort' 'Color Alternatives' 'Custom Volume Controls'
 'Adjustable Difficulty' 'Playable without Timed Input' 'Save Anytime'
 'Stereo Sound' 'Steam Cloud' 'Family Sharing']",314.8530863033844,477.7432691095038,1098.4496728274244,
233860,5861.76,5546.58,4877.41,11572.0,9645.0,7542.0,0,11.99,5,,['Action' 'Indie' 'RPG' 'Simulation' 'Strategy'],"['Single-player' 'Steam Trading Cards' 'Steam Workshop'
 'Includes level editor' 'Family Sharing']",3474.9122216452033,5010.877553368662,6511.615725425831,
719640,187.54,192.19,188.9,291.0,314.0,305.0,1,,5,,['Massively Multiplayer' 'Strategy' 'Free To Play'],"['Multi-player' 'MMO' 'Cross-Platform Multiplayer' 'Steam Achievements'
 'In-App Purchases' 'Steam Cloud']",174.55340947821483,202.32068144896937,230.4206372022348,
1292690,132.76,130.31,135.22,258.0,285.0,263.0,0,9.99,5,,['Adventure' 'Casual' 'Indie' 'RPG' 'Early Access'],"['Single-player' 'Steam Achievements' 'Partial Controller Support'
 'Steam Cloud' 'Family Sharing']",130.31307477523387,161.9230026572878,255.32530011190124,
301120,152.65,143.31,142.9,249.0,228.0,248.0,0,19.99,5,,['Simulation' 'Sports'],['Single-player' 'Multi-player' 'Steam Workshop' 'Family Sharing'],136.32719205043847,162.0529229266778,215.6948355269153,
113400,211.65,161.17,148.99,438.0,371.0,328.0,1,,5,,['Action' 'Massively Multiplayer' 'Free To Play'],['Multi-player' 'MMO' 'Steam Achievements'],129.78064809010817,175.55262965612621,334.0263274429538,
1149460,1942.26,1706.53,2178.76,3982.0,3556.0,5152.0,0,34.99,5,,['Action' 'Adventure' 'Simulation'],"['Single-player' 'Multi-player' 'Co-op' 'Online Co-op'
 'Steam Achievements' 'Steam Trading Cards' 'Steam Cloud' 'Family Sharing']",1405.25238171607,2299.8353638796016,3936.2430341833015,
1145360,2622.93,2942.68,4892.89,4044.0,8563.0,9234.0,0,24.99,5,,['Action' 'Indie' 'RPG'],"['Single-player' 'Steam Achievements' 'Full controller support'
 'Steam Trading Cards' 'Captions available' 'Steam Cloud'
 'Remote Play on Phone' 'Remote Play on Tablet' 'Remote Play on TV'
 'Family Sharing']",2371.9441028118563,3934.358198615079,6588.319390403592,
1797880,938.97,802.14,470.2,1750.0,1607.0,936.0,1,,5,,['Action' 'Massively Multiplayer' 'Free To Play'],['Multi-player' 'PvP' 'Online PvP' 'In-App Purchases'],253.09236666616934,477.78471391624385,792.201878258563,
